X(mm),Y(mm),Z(mm)
-7.902908136658682281e+01,-3.508789000819756154e+01,1.558483348112909255e+02
-7.899896316354549697e+01,-3.510288342378143511e+01,1.558482752131266693e+02
-7.896937035464667076e+01,-3.509402527969880481e+01,1.558488491336946140e+02
-7.893925129579423583e+01,-3.510907645403512589e+01,1.558487879966716321e+02
-7.890929372431402555e+01,-3.511695506457656535e+01,1.558489173296459569e+02
-7.887998214164402100e+01,-3.509543463818162223e+01,1.558498275455314683e+02
-7.885030270883241599e+01,-3.509020542823748912e+01,1.558503051543868594e+02
-7.882034533212646465e+01,-3.509804254693312942e+01,1.558504355975977091e+02
-7.879037779749762649e+01,-3.510594434004252662e+01,1.558505644222817637e+02
-7.876063593642304284e+01,-3.510394708476611214e+01,1.558509560878998172e+02
-7.873092110053721626e+01,-3.510061778800414345e+01,1.558513831600654100e+02
-7.870103145727195226e+01,-3.510477285429384864e+01,1.558516115539132443e+02
-7.867103600185365053e+01,-3.511403906343331727e+01,1.558517041142273172e+02
-7.864132528051300142e+01,-3.511037504385839014e+01,1.558521401139749969e+02
-7.861165602362794402e+01,-3.510498879902915093e+01,1.558526218174579299e+02
-7.858195585268352090e+01,-3.510051443806330695e+01,1.558530794235806809e+02
-7.855240248861186103e+01,-3.508991301421489339e+01,1.558536996353428776e+02
-7.852243918993514171e+01,-3.509743636488509821e+01,1.558538385584093930e+02
-7.849261389204484374e+01,-3.509880500528067415e+01,1.558541409284891586e+02
-7.846292894957471731e+01,-3.509383652788940111e+01,1.558546116093985461e+02
-7.843327889519248686e+01,-3.508694265238016641e+01,1.558551335161369309e+02
-7.840344887309863964e+01,-3.508863217519212441e+01,1.558554273366445955e+02
-7.837357699112911291e+01,-3.509205779911817302e+01,1.558556750858822397e+02
-7.834382396279821137e+01,-3.509005354120930065e+01,1.558560670662036216e+02
-7.831405124956727093e+01,-3.508881805596718095e+01,1.558564386585064199e+02
-7.828427239724557296e+01,-3.508803043165136870e+01,1.558567983128616561e+02
-7.825442666696582705e+01,-3.509015863114628075e+01,1.558570805504484156e+02
-7.822446708610621613e+01,-3.509733585610413797e+01,1.558572287113338177e+02
-7.819462051667446190e+01,-3.509951255887857258e+01,1.558575096580238437e+02
-7.816482651419451599e+01,-3.509913129149055777e+01,1.558578585896493678e+02
-7.813498159874625060e+01,-3.510116718131124713e+01,1.558581432929162531e+02
-7.810544215076369312e+01,-3.508931876066078104e+01,1.558587967800956164e+02
-7.807559845790706277e+01,-3.509124152222543103e+01,1.558590845025806573e+02
-7.804561552371016830e+01,-3.509943465822017572e+01,1.558592056910477481e+02
-7.801562382438855536e+01,-3.510828114673402212e+01,1.558593094619217254e+02
-7.798595653577639553e+01,-3.510180730617646105e+01,1.558598203028971056e+02
-7.795648624846143093e+01,-3.508677968385151758e+01,1.558605582424003160e+02
-7.792668764973059581e+01,-3.508631297208017941e+01,1.558609095171537149e+02
-7.789665870344620657e+01,-3.509653786007027065e+01,1.558609767547666252e+02
-7.786682912761972375e+01,-3.509768725100943243e+01,1.558612850518451864e+02
-7.783703413061465426e+01,-3.509727134040457486e+01,1.558616349236068856e+02
-7.780730314430924466e+01,-3.509377099109717335e+01,1.558620667655196428e+02
-7.777774711932659102e+01,-3.508231474054514365e+01,1.558627099265575850e+02
-7.774822320759292893e+01,-3.506911992369901299e+01,1.558633993357635745e+02
-7.771845678880777086e+01,-3.506719864557832977e+01,1.558637892435156402e+02
-7.768836581494251448e+01,-3.508030502966192188e+01,1.558637799295903221e+02
