X(mm),Y(mm),Z(mm)
-7.903051664831315293e+01,-3.502339162429363739e+01,1.558500477807697564e+02
-7.900065147625593909e+01,-3.502715404664795784e+01,1.558502864237188703e+02
-7.897066106886528303e+01,-3.503607847037374512e+01,1.558503880903604397e+02
-7.894073879189284071e+01,-3.504200638105693599e+01,1.558505693229161864e+02
-7.891090829422628872e+01,-3.504386660024751876e+01,1.558508585722365183e+02
-7.888108664212877841e+01,-3.504574757959429121e+01,1.558511471643900848e+02
-7.885123943184375150e+01,-3.504814572312032084e+01,1.558514221812484095e+02
-7.882129416631613594e+01,-3.505506868609909787e+01,1.558515769964890865e+02
-7.879139189340280325e+01,-3.506016787904935228e+01,1.558517802206409897e+02
-7.876157976470814504e+01,-3.506131247794552763e+01,1.558520884478549817e+02
-7.873180339803045058e+01,-3.506047864138135850e+01,1.558524493129634720e+02
-7.870220660619659725e+01,-3.505178401094139673e+01,1.558530188947956674e+02
-7.867259234617289110e+01,-3.504368494932089106e+01,1.558535727072313080e+02
-7.864269906106187591e+01,-3.504807315541900437e+01,1.558537948916968787e+02
-7.861277034728684043e+01,-3.505440289961834566e+01,1.558539654237448531e+02
-7.858303247982553330e+01,-3.505202686579185212e+01,1.558543671995118984e+02
-7.855358465525596046e+01,-3.503630231681760421e+01,1.558551235691681143e+02
-7.852383113068238174e+01,-3.503437641796634949e+01,1.558555134542217786e+02
-7.849391196839161466e+01,-3.503996054106744396e+01,1.558557038687648628e+02
-7.846400122255246856e+01,-3.504491212270041700e+01,1.558559111468932201e+02
-7.843400061763551889e+01,-3.505449021199551396e+01,1.558559954038325657e+02
-7.840434472314129266e+01,-3.504800476630359185e+01,1.558565064264242324e+02
-7.837473954310304691e+01,-3.503909980343065911e+01,1.558570817429051090e+02
-7.834500065301898530e+01,-3.503670983091184610e+01,1.558574839040123834e+02
-7.831498871182986932e+01,-3.504641731859039311e+01,1.558575648204862318e+02
-7.828505246032968046e+01,-3.505253946180327773e+01,1.558577410042807116e+02
-7.825520704537012762e+01,-3.505463067193232263e+01,1.558580242300162126e+02
-7.822536797795756058e+01,-3.505623938670773043e+01,1.558583203199239335e+02
-7.819566493838441090e+01,-3.505181320034401438e+01,1.558587766670340216e+02
-7.816621341295595471e+01,-3.503616208233311369e+01,1.558595311099824983e+02
-7.813677453083387547e+01,-3.501954347991824079e+01,1.558603113487233429e+02
-7.810657369855607612e+01,-3.503780954268888337e+01,1.558601649459541818e+02
-7.807666084146555363e+01,-3.504281667109002285e+01,1.558603707588023326e+02
-7.804718114862532730e+01,-3.502782567871987141e+01,1.558611078231338922e+02
-7.801726217854222512e+01,-3.503327147346074355e+01,1.558613019442566952e+02
-7.798722823747105792e+01,-3.504386806127974552e+01,1.558613592728921446e+02
-7.795703066735352138e+01,-3.506188488793599589e+01,1.558612195153847040e+02
-7.792737664320625868e+01,-3.505472050954829655e+01,1.558617487197899152e+02
-7.789773445492025417e+01,-3.504734596834600779e+01,1.558622834243814168e+02
-7.786792151927680550e+01,-3.504757409119173417e+01,1.558626162326944780e+02
-7.783838043360353254e+01,-3.503535341548363391e+01,1.558632797191382053e+02
-7.780847993918409600e+01,-3.503970726409776404e+01,1.558635029067311280e+02
-7.777854335670028263e+01,-3.504572574101253934e+01,1.558636818737177805e+02
-7.774864619957801892e+01,-3.504981642254225704e+01,1.558639120792258552e+02
-7.771880079176743550e+01,-3.505139749609160305e+01,1.558642089823111689e+02
-7.768909190814775911e+01,-3.504686724745562287e+01,1.558646681859045771e+02
-7.765939927574407875e+01,-3.504144809801851324e+01,1.558651510373448730e+02
-7.762964912055095112e+01,-3.503860783855509453e+01,1.558655653993018859e+02
-7.759977422671920522e+01,-3.504167345353523189e+01,1.558658228350917057e+02
-7.756988246016395294e+01,-3.504530705363685428e+01,1.558660652342706499e+02
-7.754005499984205585e+01,-3.504617471325847333e+01,1.558663810608855442e+02
-7.751034269900158336e+01,-3.504148278472225542e+01,1.558668446381775254e+02
-7.748051851821064417e+01,-3.504208262439094312e+01,1.558671676081138457e+02
-7.745060202149142015e+01,-3.504685219238744764e+01,1.558673798316447972e+02
-7.742076810334916104e+01,-3.504782146002948906e+01,1.558676930074303186e+02
-7.739095063454404055e+01,-3.504788798937778438e+01,1.558680301998117272e+02
-7.736119952163393521e+01,-3.504502460675752218e+01,1.558684451926186227e+02
-7.733141640470510936e+01,-3.504352112017517840e+01,1.558688240886621088e+02
-7.730170146071512249e+01,-3.503894685880401028e+01,1.558692845411912629e+02
-7.727225662942429096e+01,-3.502161152135305144e+01,1.558700840641712375e+02
-7.724240791210276313e+01,-3.502328495651848073e+01,1.558703785285441370e+02
-7.721234987620294987e+01,-3.503450326413917537e+01,1.558704194619749615e+02
-7.718237023038942368e+01,-3.504188195245460946e+01,1.558705624494693609e+02
-7.715266118738841783e+01,-3.503680200307702819e+01,1.558710363930727851e+02
-7.712286309852453314e+01,-3.503600729366308997e+01,1.558713964560770080e+02
-7.709311699241753502e+01,-3.503266127086455128e+01,1.558718243321810917e+02
-7.706316832504700187e+01,-3.503871240818867960e+01,1.558720025608848516e+02
-7.703327536478320781e+01,-3.504193287736287488e+01,1.558722560502164924e+02
-7.700348908036089313e+01,-3.504055402413521847e+01,1.558726316406854835e+02
-7.697360863841362288e+01,-3.504315803523788020e+01,1.558729015157539664e+02
-7.694369414928472395e+01,-3.504763917399689177e+01,1.558731214496281154e+02
-7.691399151696754188e+01,-3.504197963520233117e+01,1.558736108599052557e+02
-7.688418955638843499e+01,-3.504104871334791227e+01,1.558739746189588118e+02
-7.685432881641607139e+01,-3.504282153181300430e+01,1.558742665554130724e+02
-7.682448727686478662e+01,-3.504382778787815056e+01,1.558745788261334724e+02
-7.679465056125920341e+01,-3.504445770104533153e+01,1.558749011322603053e+02
-7.676485322930442123e+01,-3.504313426717013868e+01,1.558752753624561933e+02
-7.673506785934225150e+01,-3.504124051952886276e+01,1.558756647475240413e+02
-7.670528656653566202e+01,-3.503937676634043896e+01,1.558760532820506342e+02
-7.667523846908201790e+01,-3.504974350524028637e+01,1.558761169341721882e+02
-7.664508797632194614e+01,-3.506509985313054756e+01,1.558760479723981689e+02
-7.661554348513983825e+01,-3.505184152585667334e+01,1.558767393183569254e+02
-7.658621518555200680e+01,-3.502840745572969894e+01,1.558777010315858718e+02
-7.655663473293721211e+01,-3.501679282532980864e+01,1.558783487166977864e+02
-7.652682453876904844e+01,-3.501600498269930029e+01,1.558787087332121644e+02
-7.649695572950192002e+01,-3.501792097461960651e+01,1.558789969227329664e+02
-7.646708104224522629e+01,-3.501992472551584257e+01,1.558792828261436796e+02
-7.643711458616986931e+01,-3.502646565903977915e+01,1.558794481249973387e+02
-7.640743100832584389e+01,-3.501948739531359678e+01,1.558799726754017456e+02
-7.637748061990707527e+01,-3.502513708617387067e+01,1.558801616869774307e+02
-7.634768239639790011e+01,-3.502372812940657809e+01,1.558805382202897931e+02
-7.631793497120531811e+01,-3.501983235195891098e+01,1.558809808510332005e+02
-7.628808478413479577e+01,-3.502061234862032535e+01,1.558812992863733200e+02
-7.625800092387022744e+01,-3.503256804042049311e+01,1.558813207431477963e+02
-7.622810169205619957e+01,-3.503567787285126656e+01,1.558815772700930040e+02
-7.619840287550665892e+01,-3.502942919725965254e+01,1.558820824325215995e+02
-7.616865990593092306e+01,-3.502513624982407237e+01,1.558825356612603343e+02
-7.613880004552889602e+01,-3.502625800912890242e+01,1.558828450434656077e+02
-7.610889377230267883e+01,-3.502987122451114033e+01,1.558830881541028646e+02
-7.607915473749952184e+01,-3.502524113482520818e+01,1.558835503773357232e+02
-7.604951988322154932e+01,-3.501578505342347825e+01,1.558841408073753314e+02
