X(mm),Y(mm),Z(mm)
-7.902470041848512494e+01,-3.528489690064490958e+01,1.558431026022758203e+02
-7.899524934852335889e+01,-3.526973092535020271e+01,1.558438440327336139e+02
-7.896572626413126272e+01,-3.525782425792196761e+01,1.558444988955580754e+02
-7.893569567096675144e+01,-3.526912149731727908e+01,1.558445374007451960e+02
-7.890575178101602205e+01,-3.527604668230693363e+01,1.558446921407727359e+02
-7.887598779901047408e+01,-3.527510948339811847e+01,1.558450556363677606e+02
-7.884610844454859091e+01,-3.527929231321397197e+01,1.558452831688720721e+02
-7.881625009620253763e+01,-3.528259565116176333e+01,1.558455340429020168e+02
-7.878635043826304241e+01,-3.528758645066676536e+01,1.558457401434963856e+02
-7.875656461322756741e+01,-3.528754955424783191e+01,1.558460797491201504e+02
-7.872673743078827613e+01,-3.528920242335386348e+01,1.558463745200795074e+02
-7.869704121953506615e+01,-3.528523429116052057e+01,1.558468185085293669e+02
-7.866724143959029902e+01,-3.528551827654556661e+01,1.558471496695355540e+02
-7.863741015736094653e+01,-3.528744815808166635e+01,1.558474370600361851e+02
-7.860760913918593928e+01,-3.528780601742700895e+01,1.558477662544611917e+02
-7.857784871490481748e+01,-3.528650871941616174e+01,1.558481393643400850e+02
-7.854808560485346902e+01,-3.528540070325571776e+01,1.558485074298570225e+02
-7.851842382023214384e+01,-3.527948880963413103e+01,1.558490031417263140e+02
-7.848872009813754858e+01,-3.527531054125843468e+01,1.558494528495889710e+02
-7.845870401566052976e+01,-3.528544701613164847e+01,1.558495223114330201e+02
-7.842887889364298815e+01,-3.528685522633840321e+01,1.558498236185947974e+02
-7.839951697769464545e+01,-3.526748948042244791e+01,1.558506766368771537e+02
-7.836967556819881509e+01,-3.526939862010463145e+01,1.558509646986246082e+02
-7.833977526764336119e+01,-3.527431570615593870e+01,1.558511727828789333e+02
-7.830989013181050495e+01,-3.527809474620617181e+01,1.558514112072414548e+02
-7.828006578247845937e+01,-3.527939677099058713e+01,1.558517153525895935e+02
-7.825033165799905532e+01,-3.527670971101399289e+01,1.558521254248242371e+02
-7.822065310110578196e+01,-3.527123859149896390e+01,1.558526095096348740e+02
-7.819108924377069059e+01,-3.526063097720673056e+01,1.558532300066623577e+02
-7.816142912844721025e+01,-3.525444180799889438e+01,1.558537331336766840e+02
-7.813123386693231964e+01,-3.527238369321835165e+01,1.558535953592024725e+02
-7.810134116268471871e+01,-3.527667065317353945e+01,1.558538202516064928e+02
-7.807164509158194221e+01,-3.527176045883189914e+01,1.558542894963853200e+02
-7.804196757067035151e+01,-3.526613919603759228e+01,1.558547775949568006e+02
-7.801224126141252668e+01,-3.526277565823043858e+01,1.558552057156033186e+02
-7.798240027046270484e+01,-3.526453479200816332e+01,1.558554977944477287e+02
-7.795260463837340126e+01,-3.526426932438531026e+01,1.558558436398555784e+02
-7.792278280522259593e+01,-3.526526663562854935e+01,1.558561559263686433e+02
-7.789298989859001665e+01,-3.526477724231311583e+01,1.558565077445341274e+02
-7.786306109732504410e+01,-3.527066641872514907e+01,1.558566900897771177e+02
-7.783307913465675654e+01,-3.527880878099772133e+01,1.558568126285096014e+02
-7.780321588116865428e+01,-3.528149832007177622e+01,1.558570800150561126e+02
-7.777340149707478645e+01,-3.528189545753150469e+01,1.558574083083321398e+02
-7.774353842616267229e+01,-3.528455500132864842e+01,1.558576764970158308e+02
-7.771400822761610527e+01,-3.527189477838111742e+01,1.558583516445287955e+02
-7.768470256592890166e+01,-3.524892187885510708e+01,1.558593007358127238e+02
-7.765454380930842149e+01,-3.526510987132610353e+01,1.558592095705030545e+02
-7.762450570296218189e+01,-3.527569256265169173e+01,1.558592673190740641e+02
-7.759462879046962769e+01,-3.527900084377181855e+01,1.558595182716151726e+02
